Well,Plate,Library,Replica,LibRep,LibRepPlateWell,Row,Column,Compound,Supplier.order.no.,EMBL.CBCF.Id,Supplier,Strain,ID,Environment,Product..common.name.,Family,Target,Specific.Target,Chem.ID,AUC
F7,1,PS1,1,PS1-Rep1,PS1-1-1-F7,F,7,THIENCARBAZONE-METHYL,32721-100MG,555185,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,Broadleaf and grassy weeds,153,53.54971108
F8,1,PS1,1,PS1-Rep1,PS1-1-1-F8,F,8,ISOPROTHIOLANE,76547-50MG,555939,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Multi-target,"Insecticide, Fungicide",90,51.55502014
F9,1,PS1,1,PS1-Rep1,PS1-1-1-F9,F,9,FLUMIOXAZIN,32525-100MG,555165,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Herbicide,,70,50.60598374
G1,1,PS1,1,PS1-Rep1,PS1-1-1-G1,G,1,DICHLORVOS; DDVP,45441-250MG,473224,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Organophosphate,Insecticide,,163,41.17618291
G10,1,PS1,1,PS1-Rep1,PS1-1-1-G10,G,10,FLONICAMID,32509-25MG,555159,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Pyridine,Insecticide,"aphids, whiteflies, and thrips",64,46.55623944
G11,1,PS1,1,PS1-Rep1,PS1-1-1-G11,G,11,CLOSANTEL,34093-100MG,472872,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Halogenated salicylanilide ,Parasiticide,"Flukes, nematodes, arthropods",34,30.13154287
G12,1,PS1,1,PS1-Rep1,PS1-1-1-G12,G,12,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,39.77886268
G2,1,PS1,1,PS1-Rep1,PS1-1-1-G2,G,2,LINURON,36141-100MG,555426,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Ureas,Herbicide,,94,44.3035463
G3,1,PS1,1,PS1-Rep1,PS1-1-1-G3,G,3,AMETOCTRADIN,32461-50MG,555142,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazolopyrimidine,Fungicide,"Blight, downey mildew",9,46.61235357
G4,1,PS1,1,PS1-Rep1,PS1-1-1-G4,G,4,CYPROCONAZOL (MIXTURE OF DIASTEREOISOMER),46068-100MG,555874,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Azole,Fungicide,,39,52.53510122
G5,1,PS1,1,PS1-Rep1,PS1-1-1-G5,G,5,MANDIPROPAMID,32805-100MG,555190,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Mandelamide ,Fungicide,,97,52.6369764
G6,1,PS1,1,PS1-Rep1,PS1-1-1-G6,G,6,DINOTEFURAN,32499-50MG,555151,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Neonicotinoid,Insecticide,,50,53.33097503
G7,1,PS1,1,PS1-Rep1,PS1-1-1-G7,G,7,CHLORFENAPYR,37913-100MG-R,555599,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Halogenated pyrroles,Pro-insecticide,,27,50.67472099
G8,1,PS1,1,PS1-Rep1,PS1-1-1-G8,G,8,MONOSULTAP,32811-100MG,555192,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Insecticide,,109,53.79279965
G9,1,PS1,1,PS1-Rep1,PS1-1-1-G9,G,9,WARFARIN; COUMAFENE,45706-250MG-R,472403,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,,Rodenticide,,168,49.29197111
H1,1,PS1,1,PS1-Rep1,PS1-1-1-H1,H,1,FENBUCONAZOL,31654-100MG,555073,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,56,35.60060604
H10,1,PS1,1,PS1-Rep1,PS1-1-1-H10,H,10,TEBUCONAZOLE,32013-250MG,555093,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Triazole,Fungicide,,143,42.15965557
H11,1,PS1,1,PS1-Rep1,PS1-1-1-H11,H,11,PINOXADEN,32821-25MG,555194,SIGMA-ALDRICH,74,Neobacillus 1,Pristine,,Phenylpyrazolin,Herbicide,Grasses,119,39.36798875
H12,1,PS1,1,PS1-Rep1,PS1-1-1-H12,H,12,empty,,NA,,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,33.22352793
H2,1,PS1,1,PS1-Rep1,PS1-1-1-H2,H,2,DMSO,,153353,Roth,74,Neobacillus 1,Pristine,NA,NA,NA,NA,NA,41.01444968
